typeURI;assetId.identificator;assetId.toegekendDoor;datumOprichtingObject;geometry;isActief;isPtz;merk;naam;opstelhoogte;toestand
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;0390d105-ffa2-4975-9f1b-7e2707c91e25-b25kZXJkZWVsI0NhbWVyYQ;AWV;2010-01-01;POINT Z (146783 176546 0);True;False;;CAMV6007;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;03ba353d-e2c2-40e1-bb63-47e05e999901-b25kZXJkZWVsI0NhbWVyYQ;AWV;1970-01-01;POINT Z (142419.2 174308.4 0);True;False;bosch;CAMV6071;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;040d9e71-ab18-4deb-8e40-635ce2e7364f-b25kZXJkZWVsI0NhbWVyYQ;AWV;2005-01-01;POINT Z (109080.5 209591.6 0);True;False;;CAMO4263;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;0433cd71-1991-4698-a7ab-e3340162ca10-b25kZXJkZWVsI0NhbWVyYQ;AWV;1970-01-01;POINT Z (152272.3 213014.3 0);True;False;;CAMA1008;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;04148254-e58d-4d32-b606-a5ef3d867b26-b25kZXJkZWVsI0NhbWVyYQ;AWV;2017-11-10;POINT Z (156105.2 175605.5 0);True;True;;CAMV6340;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;04315648-9c41-4945-b56e-56d38806567b-b25kZXJkZWVsI0NhbWVyYQ;AWV;2013-10-08;POINT Z (163876.8 173093.2 0);True;True;;CAMV6167;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;045ee5c0-8c90-4a2e-94d2-fd97bf951433-b25kZXJkZWVsI0NhbWVyYQ;AWV;2014-07-07;POINT Z (159959.9 219237.9 0);True;True;bosch;CAMA0690;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;04647129-6a20-4fdf-9122-1a429ca3cefc-b25kZXJkZWVsI0NhbWVyYQ;AWV;2017-11-10;POINT Z (155807.1 176069.8 0);True;True;;CAMV6338;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;047f95d8-4cbb-4a3a-aaa2-4995104395e2-b25kZXJkZWVsI0NhbWVyYQ;AWV;2010-01-01;POINT Z (149603.31 211462.28 0);True;False;;;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;0c22f0aa-d62a-4f2d-9d83-8b385841d91b-b25kZXJkZWVsI0NhbWVyYQ;AWV;;POINT Z (152792.5 211311 0);True;False;;CAMA1117;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;049e8a01-a6de-475c-9201-567261e09c68-b25kZXJkZWVsI0NhbWVyYQ;AWV;2004-01-01;POINT Z (119952.6 210062 0);True;True;bosch;CAMO5015;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;04d166dc-0234-4128-8cd3-04d54c4d08a9-b25kZXJkZWVsI0NhbWVyYQ;AWV;;POINT Z (177181 181114.4 0);True;True;;CAMV6390;;in-ontwerp
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;04dde578-3a92-4b64-b800-0e056d8f2fb7-b25kZXJkZWVsI0NhbWVyYQ;AWV;;POINT Z (151818.7 177959.2 0);True;True;;CAMV6139;;in-gebruik
